TimeStamp,Demand (kW)
2/12/2017 23:55,107.6999969
2/13/2017 0:00,104.6999969
2/13/2017 0:05,106.6999969
2/13/2017 0:10,107
2/13/2017 0:15,104.3000031
2/13/2017 0:20,105.6999969
2/13/2017 0:25,105.3000031
2/13/2017 0:30,106.4000015
2/13/2017 0:35,102.5999985
2/13/2017 0:40,-86.19999695
2/13/2017 0:45,109.1999969
2/13/2017 0:50,99.90000153
2/13/2017 0:55,108.6999969
2/13/2017 1:00,96.80000305
2/13/2017 1:05,96.59999847
2/13/2017 1:10,101
2/13/2017 1:15,96.19999695
2/13/2017 1:20,106.9000015
2/13/2017 1:25,98.5
2/13/2017 1:30,99.90000153
2/13/2017 1:35,107.5999985
2/13/2017 1:40,98.30000305
2/13/2017 1:45,93.80000305
2/13/2017 1:50,96.40000153
2/13/2017 1:55,98.30000305
2/13/2017 2:00,102.4000015
2/13/2017 2:05,97.30000305
2/13/2017 2:10,102.5
2/13/2017 2:15,100.6999969
2/13/2017 2:20,105.1999969
2/13/2017 2:25,100.3000031
2/13/2017 2:30,97.90000153
2/13/2017 2:35,101.5999985
2/13/2017 2:40,99.80000305
2/13/2017 2:45,99.30000305
2/13/2017 2:50,101.4000015
2/13/2017 2:55,93.69999695
2/13/2017 3:00,106
2/13/2017 3:05,98.5
2/13/2017 3:10,97.90000153
2/13/2017 3:15,104.3000031
2/13/2017 3:20,99.19999695
2/13/2017 3:25,102.5999985
2/13/2017 3:30,98.40000153
2/13/2017 3:35,97.80000305
2/13/2017 3:40,104.6999969
2/13/2017 3:45,98.80000305
2/13/2017 3:50,99.59999847
2/13/2017 3:55,105.5
2/13/2017 4:00,98.40000153
2/13/2017 4:05,103.0999985
2/13/2017 4:10,103.5
2/13/2017 4:15,100.5999985
2/13/2017 4:20,104.1999969
2/13/2017 4:25,99.30000305
2/13/2017 4:30,100.5999985
2/13/2017 4:35,96.09999847
2/13/2017 4:40,98.5
2/13/2017 4:45,94.80000305
2/13/2017 4:50,95.30000305
2/13/2017 4:55,95.69999695
2/13/2017 5:00,100.8000031
2/13/2017 5:05,96.19999695
2/13/2017 5:10,97.40000153
2/13/2017 5:15,95.19999695
2/13/2017 5:20,95.80000305
2/13/2017 5:25,99
2/13/2017 5:30,92.5
2/13/2017 5:35,97.30000305
2/13/2017 5:40,94.59999847
2/13/2017 5:45,93.90000153
2/13/2017 5:50,99.5
2/13/2017 5:55,92.40000153
2/13/2017 6:00,95.19999695
2/13/2017 6:05,98.80000305
2/13/2017 6:10,99.19999695
2/13/2017 6:15,109.4000015
2/13/2017 6:20,112.0999985
2/13/2017 6:25,111.1999969
2/13/2017 6:30,110.6999969
2/13/2017 6:35,109.5
2/13/2017 6:40,117
2/13/2017 6:45,109.3000031
2/13/2017 6:50,109.0999985
2/13/2017 6:55,120.9000015
2/13/2017 7:00,107.4000015
2/13/2017 7:05,109
2/13/2017 7:10,108.3000031
2/13/2017 7:15,113.6999969
2/13/2017 7:20,114
2/13/2017 7:25,112.5999985
2/13/2017 7:30,108.9000015
2/13/2017 7:35,115
2/13/2017 7:40,111.9000015
2/13/2017 7:45,122.4000015
2/13/2017 7:50,107.8000031
2/13/2017 7:55,120.3000031
2/13/2017 8:00,115.5999985
2/13/2017 8:05,114.6999969
2/13/2017 8:10,123.4000015
2/13/2017 8:15,117.9000015
2/13/2017 8:20,121.6999969
2/13/2017 8:25,128.6000061
2/13/2017 8:30,121.5
2/13/2017 8:35,120.1999969
2/13/2017 8:40,118.4000015
2/13/2017 8:45,116.4000015
2/13/2017 8:50,123.5999985
2/13/2017 8:55,115.6999969
2/13/2017 9:00,117.0999985
2/13/2017 9:05,115.5
2/13/2017 9:10,117.9000015
2/13/2017 9:15,124.5999985
2/13/2017 9:20,114
2/13/2017 9:25,118.5
2/13/2017 9:30,121.9000015
2/13/2017 9:35,123.0999985
2/13/2017 9:40,130.1999969
2/13/2017 9:45,118.5999985
2/13/2017 9:50,122.9000015
2/13/2017 9:55,129.1999969
2/13/2017 10:00,125.6999969
2/13/2017 10:05,131.6999969
2/13/2017 10:10,125.5999985
2/13/2017 10:15,131.1999969
2/13/2017 10:20,131.3000031
2/13/2017 10:25,126.0999985
2/13/2017 10:30,125.1999969
2/13/2017 10:35,121.3000031
2/13/2017 10:40,121
2/13/2017 10:45,122.0999985
2/13/2017 10:50,117.5
2/13/2017 10:55,125
2/13/2017 11:00,136.8999939
2/13/2017 11:05,147.1000061
2/13/2017 11:10,122.5
2/13/2017 11:15,125.5999985
2/13/2017 11:20,128.5
2/13/2017 11:25,119.3000031
2/13/2017 11:30,133.1000061
2/13/2017 11:35,121.0999985
2/13/2017 11:40,144.3999939
2/13/2017 11:45,123.5
2/13/2017 11:50,125.6999969
2/13/2017 11:55,126.1999969
2/13/2017 12:00,122.6999969
2/13/2017 12:05,125.1999969
2/13/2017 12:10,121.3000031
2/13/2017 12:15,137.8999939
2/13/2017 12:20,124.5999985
2/13/2017 12:25,118.5999985
2/13/2017 12:30,121.5999985
2/13/2017 12:35,129.1000061
2/13/2017 12:40,119.3000031
2/13/2017 12:45,116.3000031
2/13/2017 12:50,133.8000031
2/13/2017 12:55,125.9000015
2/13/2017 13:00,147.8000031
2/13/2017 13:05,123.1999969
2/13/2017 13:10,138.8000031
2/13/2017 13:15,134.8999939
2/13/2017 13:20,124.5999985
2/13/2017 13:25,130.1999969
2/13/2017 13:30,124.0999985
2/13/2017 13:35,121.4000015
2/13/2017 13:40,122.8000031
2/13/2017 13:45,128.3000031
2/13/2017 13:50,133.8000031
2/13/2017 13:55,123.4000015
2/13/2017 14:00,124.9000015
2/13/2017 14:05,128.5
2/13/2017 14:10,116.8000031
2/13/2017 14:15,124
2/13/2017 14:20,124.3000031
2/13/2017 14:25,122.5
2/13/2017 14:30,118.8000031
2/13/2017 14:35,114
2/13/2017 14:40,123
2/13/2017 14:45,124.5
2/13/2017 14:50,124.9000015
2/13/2017 14:55,122.6999969
2/13/2017 15:00,148.5
2/13/2017 15:05,132.6999969
2/13/2017 15:10,120.5
2/13/2017 15:15,125.1999969
2/13/2017 15:20,127.4000015
2/13/2017 15:25,130.3000031
2/13/2017 15:30,125.5
2/13/2017 15:35,135.3000031
2/13/2017 15:40,128.8000031
2/13/2017 15:45,126.0999985
2/13/2017 15:50,127.9000015
2/13/2017 15:55,144
2/13/2017 16:00,142.3000031
2/13/2017 16:05,136.5
2/13/2017 16:10,141.5
2/13/2017 16:15,131.1000061
2/13/2017 16:20,132.1000061
2/13/2017 16:25,137.8000031
2/13/2017 16:30,135.8999939
2/13/2017 16:35,149.8999939
2/13/2017 16:40,142.6999969
2/13/2017 16:45,143.5
2/13/2017 16:50,135.6000061
2/13/2017 16:55,153.8000031
2/13/2017 17:00,152.6999969
2/13/2017 17:05,151.5
2/13/2017 17:10,147.5
2/13/2017 17:15,155.3999939
2/13/2017 17:20,150
2/13/2017 17:25,161.6999969
2/13/2017 17:30,173.8999939
2/13/2017 17:35,175.6999969
2/13/2017 17:40,174.6999969
2/13/2017 17:45,173.6000061
2/13/2017 17:50,167.1999969
2/13/2017 17:55,152.1999969
2/13/2017 18:00,149.8999939
2/13/2017 18:05,157.6000061
2/13/2017 18:10,164.3000031
2/13/2017 18:15,159.1999969
2/13/2017 18:20,151.1000061
2/13/2017 18:25,171.6000061
2/13/2017 18:30,170.5
2/13/2017 18:35,169
2/13/2017 18:40,162
2/13/2017 18:45,168.5
2/13/2017 18:50,166.8000031
2/13/2017 18:55,160
2/13/2017 19:00,160.6999969
2/13/2017 19:05,174.6999969
2/13/2017 19:10,176.3999939
2/13/2017 19:15,171.3000031
2/13/2017 19:20,181.3000031
2/13/2017 19:25,0
2/13/2017 19:30,168.8000031
2/13/2017 19:35,223.3999939
2/13/2017 19:40,194.8999939
2/13/2017 19:45,177.8000031
2/13/2017 19:50,162.1000061
2/13/2017 19:55,186.1000061
2/13/2017 20:00,175.5
2/13/2017 20:05,189.3999939
2/13/2017 20:10,183.1000061
2/13/2017 20:15,160.8999939
2/13/2017 20:20,170.1000061
2/13/2017 20:25,159.1000061
2/13/2017 20:30,153.1000061
2/13/2017 20:35,152.1000061
2/13/2017 20:40,170.6999969
2/13/2017 20:45,160.5
2/13/2017 20:50,165.3999939
2/13/2017 20:55,160.8000031
2/13/2017 21:00,160.3000031
2/13/2017 21:05,157.3000031
2/13/2017 21:10,158.3000031
2/13/2017 21:15,157.6000061
2/13/2017 21:20,0
2/13/2017 21:25,181.3000031
2/13/2017 21:30,157.3000031
2/13/2017 21:35,166.3999939
2/13/2017 21:40,158.8999939
2/13/2017 21:45,173.8000031
2/13/2017 21:50,158.3999939
2/13/2017 21:55,151.8999939
2/13/2017 22:00,158.8999939
2/13/2017 22:05,176
2/13/2017 22:10,0
2/13/2017 22:15,152.3999939
2/13/2017 22:20,0
2/13/2017 22:25,0
2/13/2017 22:30,157.1000061
2/13/2017 22:35,0
2/13/2017 22:40,163.6999969
2/13/2017 22:45,161.3999939
2/13/2017 22:50,0
2/13/2017 22:55,163.6999969
2/13/2017 23:00,146.6999969
2/13/2017 23:05,143.3999939
2/13/2017 23:10,127.5999985
2/13/2017 23:15,149.1999969
2/13/2017 23:20,137
2/13/2017 23:25,137.8000031
2/13/2017 23:30,133.8000031
2/13/2017 23:35,130.5
2/13/2017 23:40,145.3000031
2/13/2017 23:45,141.6999969
2/13/2017 23:50,131.6000061
2/13/2017 23:55,118.4000015
2/14/2017 0:00,117.5999985
2/14/2017 0:05,115.5
