,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,38.452
1,2016-01-01 00:15:00,KWH,38.456
2,2016-01-01 00:30:00,KWH,38.459
3,2016-01-01 00:45:00,KWH,38.463
4,2016-01-01 01:00:00,KWH,38.467
5,2016-01-01 01:15:00,KWH,38.471
6,2016-01-01 01:30:00,KWH,38.475
7,2016-01-01 01:45:00,KWH,38.481
8,2016-01-01 02:00:00,KWH,38.486
9,2016-01-01 02:15:00,KWH,38.492
10,2016-01-01 02:30:00,KWH,38.497
11,2016-01-01 02:45:00,KWH,38.501
12,2016-01-01 03:00:00,KWH,38.505
13,2016-01-01 03:15:00,KWH,38.509
14,2016-01-01 03:30:00,KWH,38.512
15,2016-01-01 03:45:00,KWH,38.514
16,2016-01-01 04:00:00,KWH,38.517
17,2016-01-01 04:15:00,KWH,38.520
18,2016-01-01 04:30:00,KWH,38.522
19,2016-01-01 04:45:00,KWH,38.522
20,2016-01-01 05:00:00,KWH,38.522
21,2016-01-01 05:15:00,KWH,38.522
22,2016-01-01 05:30:00,KWH,38.522
23,2016-01-01 06:00:00,KWH,38.522
24,2016-01-01 06:15:00,KWH,38.522
25,2016-01-01 06:30:00,KWH,38.522
26,2016-01-01 06:45:00,KWH,38.522
27,2016-01-01 07:00:00,KWH,38.522
28,2016-01-01 07:15:00,KWH,38.522
29,2016-01-01 07:30:00,KWH,38.522
30,2016-01-01 07:45:00,KWH,38.522
31,2016-01-01 08:00:00,KWH,38.522
32,2016-01-01 08:15:00,KWH,38.522
33,2016-01-01 08:30:00,KWH,38.522
34,2016-01-01 08:45:00,KWH,38.522
35,2016-01-01 09:00:00,KWH,38.522
36,2016-01-01 09:15:00,KWH,38.522
37,2016-01-01 09:30:00,KWH,38.522
38,2016-01-01 09:45:00,KWH,38.522
39,2016-01-01 10:00:00,KWH,38.522
40,2016-01-01 10:15:00,KWH,38.522
41,2016-01-01 10:30:00,KWH,38.522
42,2016-01-01 10:45:00,KWH,38.522
43,2016-01-01 11:00:00,KWH,38.522
44,2016-01-01 11:15:00,KWH,38.522
45,2016-01-01 11:30:00,KWH,38.522
46,2016-01-01 11:45:00,KWH,38.522
47,2016-01-01 12:00:00,KWH,38.522
48,2016-01-01 12:15:00,KWH,38.522
49,2016-01-01 12:30:00,KWH,38.522
50,2016-01-01 12:45:00,KWH,38.522
51,2016-01-01 13:00:00,KWH,38.522
52,2016-01-01 13:15:00,KWH,38.522
53,2016-01-01 13:30:00,KWH,38.522
54,2016-01-01 13:45:00,KWH,38.522
55,2016-01-01 14:00:00,KWH,38.522
56,2016-01-01 14:15:00,KWH,38.522
57,2016-01-01 14:30:00,KWH,38.522
58,2016-01-01 14:45:00,KWH,38.522
59,2016-01-01 15:00:00,KWH,38.522
60,2016-01-01 15:15:00,KWH,38.522
61,2016-01-01 15:30:00,KWH,38.522
62,2016-01-01 15:45:00,KWH,38.522
63,2016-01-01 16:00:00,KWH,38.522
64,2016-01-01 16:15:00,KWH,38.522
65,2016-01-01 16:30:00,KWH,38.522
66,2016-01-01 16:45:00,KWH,38.522
67,2016-01-01 17:00:00,KWH,38.522
68,2016-01-01 17:15:00,KWH,38.522
69,2016-01-01 17:30:00,KWH,38.522
70,2016-01-01 17:45:00,KWH,38.522
71,2016-01-01 18:00:00,KWH,38.522
72,2016-01-01 18:15:00,KWH,38.522
73,2016-01-01 18:30:00,KWH,38.522
74,2016-01-01 18:45:00,KWH,38.522
75,2016-01-01 19:00:00,KWH,38.522
