Date,Time,DryBulbCelsius,DryBulbFarenheit
20160301,15,8,46
20160301,35,7,45
20160301,55,7,45
20160301,115,7,45
20160301,135,7,45
20160301,155,7,45
20160301,215,7,45
20160301,235,7,45
20160301,255,7,45
20160301,315,7,45
20160301,335,7,45
20160301,355,8,46
20160301,415,8,46
20160301,435,7,45
20160301,455,7,45
20160301,515,7,45
20160301,535,7,45
20160301,555,7,45
20160301,615,5,41
20160301,635,6,43
20160301,655,5,41
20160301,715,5,41
20160301,735,7,45
20160301,755,9,48
20160301,815,11,52
20160301,835,12,54
20160301,855,13,55
20160301,915,13,55
20160301,935,14,57
20160301,955,15,59
20160301,1015,16,61
20160301,1035,17,63
20160301,1055,18,64
20160301,1115,18,64
20160301,1135,18,64
20160301,1155,19,66
20160301,1215,19,66
20160301,1235,19,66
20160301,1255,19,66
20160301,1315,19,66
20160301,1335,19,66
20160301,1355,20,68
20160301,1415,19,66
20160301,1435,19,66
20160301,1455,19,66
20160301,1515,18,64
20160301,1535,17,63
20160301,1555,17,63
20160301,1615,17,63
20160301,1635,16,61
20160301,1655,16,61
20160301,1715,15,59
20160301,1735,15,59
20160301,1755,15,59
20160301,1815,15,59
20160301,1835,14,57
20160301,1855,14,57
20160301,1915,14,57
20160301,1935,14,57
20160301,1955,14,57
20160301,2015,14,57
20160301,2035,14,57
20160301,2055,14,57
20160301,2115,14,57
20160301,2135,14,57
20160301,2155,14,57
20160301,2215,13,55
20160301,2235,14,57
20160301,2255,14,57
20160301,2315,14,57
20160301,2335,14,57
20160301,2355,14,57
20160302,15,14,57
20160302,35,14,57
20160302,55,13,55
20160302,115,13,55
20160302,135,13,55
20160302,155,13,55
20160302,215,13,55
20160302,235,13,55
20160302,255,13,55
20160302,315,13,55
20160302,335,13,55
20160302,355,13,55
20160302,415,13,55
20160302,435,13,55
20160302,455,13,55
20160302,515,13,55
20160302,535,13,55
20160302,555,13,55
20160302,615,12,54
20160302,635,12,54
20160302,655,12,54
20160302,715,12,54
20160302,735,12,54
20160302,755,12,54
20160302,815,12,54
20160302,835,12,54
20160302,855,12,54
20160302,915,12,54
20160302,935,13,55
20160302,955,13,55
20160302,1015,13,55
20160302,1035,15,59
20160302,1055,16,61
20160302,1115,17,63
20160302,1135,18,64
20160302,1155,19,66
20160302,1215,19,66
20160302,1235,19,66
20160302,1255,19,66
20160302,1315,18,64
20160302,1335,17,63
20160302,1355,17,63
20160302,1415,17,63
20160302,1435,17,63
20160302,1455,16,61
20160302,1515,16,61
20160302,1535,16,61
20160302,1555,15,59
20160302,1615,15,59
20160302,1635,15,59
20160302,1655,15,59
20160302,1715,15,59
20160302,1735,15,59
20160302,1755,15,59
20160302,1815,15,59
20160302,1835,15,59
20160302,1855,14,57
20160302,1915,15,59
20160302,1935,15,59
20160302,1955,15,59
20160302,2015,15,59
20160302,2035,14,57
20160302,2055,14,57
20160302,2115,14,57
20160302,2135,14,57
20160302,2155,14,57
20160302,2215,14,57
20160302,2235,14,57
20160302,2255,14,57
20160302,2315,14,57
20160302,2335,14,57
20160302,2355,14,57
20160303,15,14,57
20160303,35,14,57
20160303,55,14,57
20160303,115,14,57
20160303,135,13,55
20160303,155,13,55
20160303,215,13,55
20160303,235,13,55
20160303,255,13,55
20160303,315,13,55
20160303,335,13,55
20160303,355,13,55
20160303,415,13,55
20160303,435,13,55
20160303,455,13,55
20160303,515,13,55
20160303,535,13,55
20160303,555,13,55
20160303,615,13,55
20160303,635,13,55
20160303,655,13,55
20160303,715,13,55
