TimeStamp (November),Demand(kW)
11/1/2016 7:00,303.9100037
11/1/2016 7:05,297.3500061
11/1/2016 7:10,291.8699951
11/1/2016 7:15,287.3200073
11/1/2016 7:20,284.0100098
11/1/2016 7:25,281.6799927
11/1/2016 7:30,279.8699951
11/1/2016 7:35,264.6199951
11/1/2016 7:40,251.4600067
11/1/2016 7:45,241.4600067
11/1/2016 7:50,232.2899933
11/1/2016 7:55,225.1100006
11/1/2016 8:00,220.4700012
11/1/2016 8:05,216.8399963
11/1/2016 8:10,213.8099976
11/1/2016 8:15,211.7299957
11/1/2016 8:20,210.4700012
11/1/2016 8:25,211.6399994
11/1/2016 8:30,210.8899994
11/1/2016 8:35,210.5099945
11/1/2016 8:40,214.0700073
11/1/2016 8:45,219.6499939
11/1/2016 8:50,224.2799988
11/1/2016 8:55,228
11/1/2016 9:00,230.75
11/1/2016 9:05,232.6000061
11/1/2016 9:10,233.7899933
11/1/2016 9:15,234.1300049
11/1/2016 9:20,234.1600037
11/1/2016 9:25,235.1100006
11/1/2016 9:30,235.5099945
11/1/2016 9:35,235.4799957
11/1/2016 9:40,236.0099945
11/1/2016 9:45,237.5800018
11/1/2016 9:50,238.5
11/1/2016 9:55,237.9799957
11/1/2016 10:00,239.7599945
11/1/2016 10:05,238.5700073
11/1/2016 10:10,237.1199951
11/1/2016 10:15,236.3999939
11/1/2016 10:20,235.6600037
11/1/2016 10:25,235.1900024
11/1/2016 10:30,234.6900024
11/1/2016 10:35,234.1699982
11/1/2016 10:40,233.9499969
11/1/2016 10:45,233.7700043
11/1/2016 10:50,233.7599945
11/1/2016 10:55,233.8099976
11/1/2016 11:00,233.6699982
11/1/2016 11:05,233.2100067
11/1/2016 11:10,232.8999939
11/1/2016 11:15,232.3300018
11/1/2016 11:20,232.6900024
11/1/2016 11:25,233.2200012
11/1/2016 11:30,233.1399994
11/1/2016 11:35,232.6199951
11/1/2016 11:40,230.5800018
11/1/2016 11:45,228.8800049
11/1/2016 11:50,227.8000031
11/1/2016 11:55,227.1600037
11/1/2016 12:00,226.0500031
11/1/2016 12:05,226.1300049
11/1/2016 12:10,226.1000061
11/1/2016 12:15,227.2799988
11/1/2016 12:20,231.5399933
11/1/2016 12:25,236.5
11/1/2016 12:30,245.4299927
11/1/2016 12:35,251.4499969
11/1/2016 12:40,257.519989
11/1/2016 12:45,262.519989
11/1/2016 12:50,265.9899902
11/1/2016 12:55,268.3599854
11/1/2016 13:00,270.1499939
11/1/2016 13:05,272.1799927
11/1/2016 13:10,273.5700073
11/1/2016 13:15,277.1700134
11/1/2016 13:20,280.9400024
11/1/2016 13:25,287.8699951
11/1/2016 13:30,294.8900146
11/1/2016 13:35,303.2000122
11/1/2016 13:40,310.9299927
11/1/2016 13:45,317.6600037
11/1/2016 13:50,323.0599976
11/1/2016 13:55,327.3500061
11/1/2016 14:00,330.6700134
11/1/2016 14:05,333.1900024
11/1/2016 14:10,335.6300049
11/1/2016 14:15,338.2999878
11/1/2016 14:20,339.4700012
11/1/2016 14:25,341.3099976
11/1/2016 14:30,342.3299866
11/1/2016 14:35,346.3099976
11/1/2016 14:40,346.2900085
11/1/2016 14:45,345.9400024
11/1/2016 14:50,346.4299927
11/1/2016 14:55,346.9200134
11/1/2016 15:00,346.7900085
11/1/2016 15:05,345.6099854
11/1/2016 15:10,344.1300049
11/1/2016 15:15,344.3200073
11/1/2016 15:20,344.9500122
11/1/2016 15:25,345.3999939
11/1/2016 15:30,349.0899963
11/1/2016 15:35,350.1700134
11/1/2016 15:40,351.8399963
11/1/2016 15:45,353.4500122
11/1/2016 15:50,353.0299988
11/1/2016 15:55,354.6499939
11/1/2016 16:00,354.6400146
11/1/2016 16:05,355.9700012
11/1/2016 16:10,357.769989
11/1/2016 16:15,359.75
11/1/2016 16:20,363.0299988
11/1/2016 16:25,364.2600098
11/1/2016 16:30,364.019989
11/1/2016 16:35,362
11/1/2016 16:40,360.4500122
11/1/2016 16:45,360.0499878
11/1/2016 16:50,359.5799866
11/1/2016 16:55,359.4599915
11/1/2016 17:00,359.5
11/1/2016 17:05,361.6700134
11/1/2016 17:10,366.980011
11/1/2016 17:15,367.2900085
11/1/2016 17:20,368.3099976
