,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,2.603
1,2016-01-01 00:15:00,KWH,2.607
2,2016-01-01 00:30:00,KWH,2.611
3,2016-01-01 00:45:00,KWH,2.615
4,2016-01-01 01:00:00,KWH,2.619
5,2016-01-01 01:30:00,KWH,2.627
6,2016-01-01 01:45:00,KWH,2.631
7,2016-01-01 02:00:00,KWH,2.635
8,2016-01-01 02:15:00,KWH,2.639
9,2016-01-01 02:30:00,KWH,2.643
10,2016-01-01 02:45:00,KWH,2.647
11,2016-01-01 03:00:00,KWH,2.651
12,2016-01-01 03:15:00,KWH,2.655
13,2016-01-01 03:30:00,KWH,2.658
14,2016-01-01 03:45:00,KWH,2.662
15,2016-01-01 04:00:00,KWH,2.666
16,2016-01-01 04:15:00,KWH,2.670
17,2016-01-01 04:30:00,KWH,2.674
18,2016-01-01 04:45:00,KWH,2.678
19,2016-01-01 05:00:00,KWH,2.682
20,2016-01-01 05:15:00,KWH,2.686
21,2016-01-01 05:30:00,KWH,2.690
22,2016-01-01 05:45:00,KWH,2.693
23,2016-01-01 06:00:00,KWH,2.697
24,2016-01-01 06:15:00,KWH,2.701
25,2016-01-01 06:30:00,KWH,2.705
26,2016-01-01 06:45:00,KWH,2.706
27,2016-01-01 07:00:00,KWH,2.706
28,2016-01-01 07:15:00,KWH,2.706
29,2016-01-01 07:30:00,KWH,2.706
30,2016-01-01 07:45:00,KWH,2.706
31,2016-01-01 08:00:00,KWH,2.706
32,2016-01-01 08:15:00,KWH,2.706
33,2016-01-01 08:30:00,KWH,2.706
34,2016-01-01 08:45:00,KWH,2.706
35,2016-01-01 09:00:00,KWH,2.706
36,2016-01-01 09:15:00,KWH,2.706
37,2016-01-01 09:30:00,KWH,2.706
38,2016-01-01 09:45:00,KWH,2.706
39,2016-01-01 10:00:00,KWH,2.706
40,2016-01-01 10:15:00,KWH,2.706
41,2016-01-01 10:30:00,KWH,2.706
42,2016-01-01 10:45:00,KWH,2.706
43,2016-01-01 11:00:00,KWH,2.706
44,2016-01-01 11:15:00,KWH,2.706
45,2016-01-01 11:30:00,KWH,2.706
46,2016-01-01 11:45:00,KWH,2.706
47,2016-01-01 12:00:00,KWH,2.706
48,2016-01-01 12:15:00,KWH,2.706
49,2016-01-01 12:30:00,KWH,2.706
50,2016-01-01 12:45:00,KWH,2.706
51,2016-01-01 13:00:00,KWH,2.706
52,2016-01-01 13:15:00,KWH,2.706
53,2016-01-01 13:45:00,KWH,2.706
54,2016-01-01 14:00:00,KWH,2.706
55,2016-01-01 14:15:00,KWH,2.706
56,2016-01-01 14:30:00,KWH,2.706
57,2016-01-01 14:45:00,KWH,2.706
58,2016-01-01 15:00:00,KWH,2.706
59,2016-01-01 15:15:00,KWH,2.706
60,2016-01-01 15:30:00,KWH,2.706
61,2016-01-01 15:45:00,KWH,2.706
62,2016-01-01 16:00:00,KWH,2.706
63,2016-01-01 16:15:00,KWH,2.708
64,2016-01-01 16:45:00,KWH,2.713
65,2016-01-01 17:00:00,KWH,2.716
66,2016-01-01 17:15:00,KWH,2.719
67,2016-01-01 17:30:00,KWH,2.723
68,2016-01-01 17:45:00,KWH,2.727
69,2016-01-01 18:00:00,KWH,2.731
70,2016-01-01 18:15:00,KWH,2.735
71,2016-01-01 18:30:00,KWH,2.739
72,2016-01-01 18:45:00,KWH,2.743
73,2016-01-01 19:00:00,KWH,2.747
74,2016-01-01 19:15:00,KWH,2.751
75,2016-01-01 19:30:00,KWH,2.755
76,2016-01-01 19:45:00,KWH,2.759
77,2016-01-01 20:00:00,KWH,2.763
78,2016-01-01 20:15:00,KWH,2.767
79,2016-01-01 20:30:00,KWH,2.771
80,2016-01-01 20:45:00,KWH,2.775
81,2016-01-01 20:45:59,KWH,2.775
82,2016-01-01 21:00:00,KWH,2.779
83,2016-01-01 21:15:00,KWH,2.783
84,2016-01-01 21:30:00,KWH,2.787
85,2016-01-01 21:45:00,KWH,2.791
86,2016-01-01 22:00:00,KWH,2.795
87,2016-01-01 22:15:00,KWH,2.799
88,2016-01-01 22:30:00,KWH,2.803
89,2016-01-01 23:00:00,KWH,2.811
90,2016-01-01 23:15:00,KWH,2.815
91,2016-01-01 23:30:00,KWH,2.819
92,2016-01-01 23:45:00,KWH,2.823
93,2016-01-02 00:00:00,KWH,2.826
94,2016-01-02 00:15:00,KWH,2.830
95,2016-01-02 00:30:00,KWH,2.834
96,2016-01-02 00:45:00,KWH,2.838
97,2016-01-02 01:00:00,KWH,2.842
98,2016-01-02 01:15:00,KWH,2.846
99,2016-01-02 01:30:00,KWH,2.850
100,2016-01-02 01:45:00,KWH,2.854
101,2016-01-02 02:00:00,KWH,2.858
102,2016-01-02 02:15:00,KWH,2.862
