Timestamp,Timezone : America/Los_Angeles,Temperature,Humidity,CO2,Noise,Pressure
1483257658,1/1/17 0:00,21.8,34,482,39,1009.1
1483257959,1/1/17 0:05,21.8,34,491,41,1009.2
1483258260,1/1/17 0:11,21.9,34,480,39,1009.2
1483258562,1/1/17 0:16,21.9,34,486,39,1009.2
1483258864,1/1/17 0:21,21.9,34,490,37,1009.3
1483259165,1/1/17 0:26,21.9,34,486,39,1009.3
1483259468,1/1/17 0:31,22,34,498,37,1009.2
1483259769,1/1/17 0:36,22,34,491,39,1009.1
1483260071,1/1/17 0:41,22,34,492,37,1009
1483260373,1/1/17 0:46,22.1,34,489,38,1008.8
1483260674,1/1/17 0:51,22.1,34,494,37,1008.8
1483260975,1/1/17 0:56,22.1,34,497,39,1008.8
1483261279,1/1/17 1:01,22.1,34,498,38,1008.6
1483261580,1/1/17 1:06,22.2,34,482,38,1008.7
1483261881,1/1/17 1:11,22.2,34,486,38,1008.6
1483262183,1/1/17 1:16,22.2,34,505,38,1008.6
1483262486,1/1/17 1:21,22.3,34,503,39,1008.7
1483262787,1/1/17 1:26,22.3,34,490,38,1008.9
1483263090,1/1/17 1:31,22.4,34,497,39,1008.9
1483263392,1/1/17 1:36,22.4,34,499,37,1008.8
1483263694,1/1/17 1:41,22.4,34,492,39,1008.8
1483263995,1/1/17 1:46,22.4,34,505,36,1008.8
1483264297,1/1/17 1:51,22.4,33,505,39,1008.8
1483264598,1/1/17 1:56,22.5,33,504,36,1008.9
1483264900,1/1/17 2:01,22.5,33,499,39,1008.9
1483265201,1/1/17 2:06,22.5,33,505,36,1009.3
1483265505,1/1/17 2:11,22.6,33,491,39,1009.2
1483265806,1/1/17 2:16,22.6,33,499,36,1009.2
1483266108,1/1/17 2:21,22.6,33,502,38,1008.9
1483266409,1/1/17 2:26,22.6,33,503,37,1008.9
1483266713,1/1/17 2:31,22.7,33,502,37,1009
1483267015,1/1/17 2:36,22.7,33,509,38,1009.2
1483267317,1/1/17 2:41,22.7,33,505,37,1009.3
1483267618,1/1/17 2:46,22.8,33,499,38,1009.2
1483267921,1/1/17 2:52,22.8,33,509,36,1009.1
1483268222,1/1/17 2:57,22.8,33,522,39,1008.9
1483268525,1/1/17 3:02,22.8,33,513,36,1009
1483268826,1/1/17 3:07,22.8,33,518,38,1008.9
1483269127,1/1/17 3:12,22.8,33,506,36,1008.8
1483269428,1/1/17 3:17,22.8,33,506,39,1009
1483269729,1/1/17 3:22,22.9,33,512,36,1009.1
1483270030,1/1/17 3:27,22.9,33,524,38,1009
1483270334,1/1/17 3:32,22.9,33,514,36,1008.8
1483270635,1/1/17 3:37,23,33,512,38,1008.8
1483270937,1/1/17 3:42,23,33,510,36,1008.6
1483271238,1/1/17 3:47,23,33,530,38,1008.5
1483271541,1/1/17 3:52,23.1,32,522,37,1008.2
1483271842,1/1/17 3:57,23.1,32,515,38,1008.1
1483272146,1/1/17 4:02,23.1,32,519,37,1007.9
1483272447,1/1/17 4:07,23.1,32,517,37,1008
1483272749,1/1/17 4:12,23.2,32,508,37,1007.8
1483273050,1/1/17 4:17,23.2,32,519,37,1007.9
1483273351,1/1/17 4:22,23.2,32,509,37,1008.1
1483273652,1/1/17 4:27,23.2,32,514,37,1008.3
1483273956,1/1/17 4:32,23.3,32,513,38,1008
1483274257,1/1/17 4:37,23.3,32,524,37,1008.1
1483274559,1/1/17 4:42,23.3,32,525,38,1008.1
1483274860,1/1/17 4:47,23.3,32,526,36,1008.1
1483275163,1/1/17 4:52,23.4,32,523,38,1008
1483275465,1/1/17 4:57,23.4,32,519,36,1007.9
1483275767,1/1/17 5:02,23.4,32,528,39,1007.8
1483276068,1/1/17 5:07,23.4,32,525,36,1007.9
1483276370,1/1/17 5:12,23.4,32,527,39,1008
1483276672,1/1/17 5:17,23.5,32,533,36,1008
1483276974,1/1/17 5:22,23.5,32,520,38,1008
1483277275,1/1/17 5:27,23.5,32,523,36,1008
1483277577,1/1/17 5:32,23.6,32,528,38,1008
1483277879,1/1/17 5:37,23.6,32,534,36,1008
1483278181,1/1/17 5:43,23.6,32,523,38,1008.1
1483278482,1/1/17 5:48,23.6,32,542,36,1008.2
1483278785,1/1/17 5:53,23.7,32,540,37,1008.2
1483279086,1/1/17 5:58,23.7,32,534,37,1008.2
1483279388,1/1/17 6:03,23.7,32,545,37,1008.2
1483279690,1/1/17 6:08,23.7,32,538,37,1008.2
1483279993,1/1/17 6:13,23.7,32,534,37,1008.3
1483280295,1/1/17 6:18,23.7,32,542,38,1008.5
1483280596,1/1/17 6:23,23.8,31,535,36,1008.5
1483280898,1/1/17 6:28,23.8,31,540,38,1008.5
1483281200,1/1/17 6:33,23.8,31,532,36,1008.5
1483281501,1/1/17 6:38,23.8,31,539,38,1008.5
1483281803,1/1/17 6:43,23.9,31,547,36,1008.5
1483282104,1/1/17 6:48,23.9,31,543,38,1008.6
1483282406,1/1/17 6:53,23.9,31,546,36,1008.6
1483282708,1/1/17 6:58,23.9,31,542,38,1008.6
1483283011,1/1/17 7:03,23.9,31,553,36,1008.5
1483283313,1/1/17 7:08,23.9,31,542,38,1008.6
1483283614,1/1/17 7:13,24,31,539,37,1008.7
1483283915,1/1/17 7:18,24,31,541,38,1008.7
1483284216,1/1/17 7:23,24.2,31,549,37,1008.8
1483284517,1/1/17 7:28,24.2,31,550,38,1008.8
1483284820,1/1/17 7:33,24.2,31,539,38,1008.9
1483285121,1/1/17 7:38,24.2,31,553,37,1008.9
1483285424,1/1/17 7:43,24.2,31,553,38,1009.1
1483285726,1/1/17 7:48,24.2,31,542,37,1009.1
1483286029,1/1/17 7:53,24.2,31,537,38,1009
1483286331,1/1/17 7:58,24.2,31,537,37,1008.9
1483286632,1/1/17 8:03,24.2,31,543,39,1009
1483286933,1/1/17 8:08,24.2,31,546,36,1009
1483287236,1/1/17 8:13,24.2,31,559,39,1009
1483287538,1/1/17 8:18,24.2,31,549,36,1008.9
1483287839,1/1/17 8:23,24.2,31,552,39,1009.1
1483288141,1/1/17 8:29,24.2,31,555,36,1009.2
1483288444,1/1/17 8:34,24.2,31,551,39,1009.2
1483288746,1/1/17 8:39,24.2,31,542,36,1009.4
1483289049,1/1/17 8:44,24.3,31,546,39,1009.4
1483289350,1/1/17 8:49,24.3,31,553,36,1009.5
1483289651,1/1/17 8:54,24.3,31,560,39,1009.4
1483289953,1/1/17 8:59,24.3,31,550,36,1009.5
1483290255,1/1/17 9:04,24.4,31,544,39,1009.5
1483290557,1/1/17 9:09,24.4,31,541,37,1009.5
1483290859,1/1/17 9:14,24.4,31,558,39,1009.5
1483291160,1/1/17 9:19,24.4,31,557,37,1009.5
1483291461,1/1/17 9:24,24.5,31,557,38,1009.5
1483291763,1/1/17 9:29,24.5,31,551,37,1009.4
1483292066,1/1/17 9:34,24.5,31,555,38,1009.5
1483292367,1/1/17 9:39,24.5,31,562,38,1009.5
1483292669,1/1/17 9:44,24.5,31,560,38,1009.5
1483292970,1/1/17 9:49,24.6,31,561,39,1009.6
1483293273,1/1/17 9:54,24.6,31,557,38,1009.5
1483293575,1/1/17 9:59,24.6,31,564,39,1009.5
1483293877,1/1/17 10:04,24.6,31,557,38,1009.5
1483294178,1/1/17 10:09,24.6,31,559,39,1009.6
1483294480,1/1/17 10:14,24.7,31,548,37,1009.7
1483294782,1/1/17 10:19,24.7,30,561,40,1009.7
1483295083,1/1/17 10:24,24.7,30,561,37,1009.8
1483295384,1/1/17 10:29,24.7,30,552,41,1009.8
1483295687,1/1/17 10:34,24.8,30,555,38,1009.7
1483295988,1/1/17 10:39,24.8,30,563,41,1009.8
1483296289,1/1/17 10:44,24.8,30,555,38,1009.7
1483296591,1/1/17 10:49,24.9,30,557,40,1009.6
1483296894,1/1/17 10:54,24.9,30,562,37,1009.7
1483297195,1/1/17 10:59,24.9,30,562,36,1009.6
1483297497,1/1/17 11:04,25,30,555,36,1009.6
1483297799,1/1/17 11:09,25,30,565,36,1009.6
1483298101,1/1/17 11:15,25.1,30,563,37,1009.6
1483298402,1/1/17 11:20,25.1,30,562,36,1009.5
1483298704,1/1/17 11:25,25.1,30,562,36,1009.4
1483299005,1/1/17 11:30,25.1,30,569,39,1009.3
1483299308,1/1/17 11:35,25.2,30,555,38,1009.2
1483299609,1/1/17 11:40,25.2,30,564,38,1009.2
1483299911,1/1/17 11:45,25.2,30,565,39,1009.1
